LotArea	YearBuilt	YrSold	SalePrice
9000	1956	2008	139000
3378	1946	2009	135000
12800	1989	2009	275000
8593	1957	2008	109008
6762	2007	2007	195400
11457	1988	2009	175000
1680	1971	2008	85400
5586	1920	2008	79900
1920	1971	2007	122500
10839	1997	2008	181000
1890	1972	2008	81000
10667	1996	2009	212000
4400	1920	2006	116000
6000	1926	2009	119000
4280	1913	2007	90350
12354	1920	2009	110000
15431	2008	2009	555000
12108	1955	2008	118000
6240	1930	2008	162900
3922	2006	2007	172500
8750	1994	2008	210000
9855	1956	2009	127500
16492	1966	2010	190000
11214	1998	2006	199900
8600	1937	2006	119500
6000	1948	2007	120000
5684	1930	2006	110000
70761	1975	2006	280000
9303	1996	2007	204000
9000	2008	2009	210000
9297	1976	2006	188000
9600	1973	2007	175500
4571	1916	2008	98000
53227	1954	2008	256000
5100	1925	2008	161000
7015	1950	2009	110000
8004	2009	2009	263435
7200	1936	2009	155000
8281	1965	2009	62383
11988	1934	2008	188700
8430	1978	2009	124000
3072	2004	2006	178740
10628	1970	2007	167000
9480	1942	2007	146500
11428	2006	2007	250000
9291	1993	2008	187000
6820	1985	2010	212000
11952	1977	2007	190000
3675	2005	2008	148000
14977	2006	2007	440000
5330	2000	2007	251000
8480	1963	2007	132500
13125	1997	2008	208900
13693	2006	2007	380000
10637	2007	2009	297000
5925	1937	2007	89471
16033	2004	2006	326000
11846	2003	2006	374000
2500	1915	2009	155000
4500	1998	2006	164000
7758	1962	2007	132500
9600	1950	2009	147000
10289	1965	2007	156000
12243	1971	2007	175000
10800	1900	2006	160000
1526	1970	2009	86000
2665	1976	2008	115000
9490	1941	2006	133000
15578	2006	2006	172785
7931	1960	2008	155000
5784	1938	2009	91300
7879	1920	2009	34900
12692	1992	2007	430000
9120	1925	2008	184000
7800	1967	2009	130000
7535	1958	2007	120000
1890	1973	2007	113000
9803	2005	2008	226700
9170	1965	2007	140000
15602	1959	2010	289000
2308	1974	2009	147000
7596	1952	2009	124500
9554	1993	2006	215000
7862	2009	2009	208300
9600	1928	2008	161000
9600	1959	2009	124500
14559	1951	2009	164900
6792	2005	2006	202665
9100	1958	2006	129900
9187	1983	2007	134000
10594	1926	2007	96500
12220	2009	2009	402861
10448	1972	2009	158000
10208	1996	2009	265000
9531	1998	2007	211000
10918	1926	2009	234000
10800	1900	2008	106250
11988	1957	2007	150000
5000	1947	2006	159000
40094	2007	2007	184750
11787	1996	2007	315750
7500	2005	2006	176000
13300	1956	2007	132000
14948	2008	2008	446261
9098	1920	2007	86000
32668	1957	2007	200624
10200	1988	2008	175000
6155	1920	2008	128000
7200	1955	2010	107500
5000	1946	2007	39300
9056	2004	2006	178000
7000	1910	2008	107500
8924	1998	2008	188000
12735	1972	2008	111250
11553	1968	2006	158000
11423	2001	2010	272000
14601	2006	2009	315000
11000	2000	2007	248000
10140	1998	2009	213250
4058	1998	2007	133000
17104	2006	2006	179665
13837	1988	2006	229000
8737	1923	2007	210000
7244	1970	2007	129500
8235	1955	2008	125000
9375	2003	2009	263000
4043	1977	2008	140000
6000	1957	2008	112500
11146	2006	2009	255500
8777	1949	2009	108000
10625	2003	2008	284000
6380	1922	2006	113000
14850	1957	2006	141000
11040	1920	2006	108000
21872	1996	2008	175000
3196	2003	2006	234000
11341	1957	2010	121500
10010	1974	2006	170000
13907	1940	2008	108000
21780	1918	2008	185000
13346	1992	2006	268000
6858	1915	2010	128000
11198	2005	2008	325000
10171	2004	2010	214000
12327	1983	2009	316600
7032	1979	2006	135960
13101	1965	2008	142600
7332	1959	2006	120000
13159	2009	2009	224500
9967	2000	2007	170000
10500	1971	2007	139000
8480	1947	2008	118500
6292	1928	2009	145000
11777	1966	2006	164500
3604	2007	2008	146000
12150	1954	2008	131500
14585	1960	2007	181900
12704	2008	2009	253293
11841	1990	2007	118500
13500	1893	2008	325000
6120	1935	2009	133000
11443	2005	2006	369900
10267	1918	2008	130000
8740	1982	2009	137000
25095	1968	2009	143000
9100	1930	2008	79500
8320	2004	2008	185900
13478	2008	2009	451950
6600	1982	2008	138000
4435	2003	2009	140000
7990	1975	2008	110000
11302	2005	2006	319000
3600	1910	2006	114504
3922	2006	2007	194201
12984	1977	2006	217500
1950	1980	2008	151000
10927	2005	2006	275000
9000	1937	2007	141000
10041	1992	2006	220000
3182	2004	2010	151000
12803	2002	2008	221000
13600	1965	2009	205000
12464	1996	2009	152000
7800	1948	2006	225000
12168	1934	2007	359100
7943	1961	2007	118500
11050	2000	2009	313000
10395	1978	2007	148000
11885	2001	2009	261500
8402	2007	2007	147000
1491	1972	2010	75500
8800	1963	2010	137500
7861	2002	2006	183200
7227	1954	2008	105500
11694	2007	2007	314813
12244	2003	2008	305000
8248	1914	2008	67000
10800	1974	2008	240000
7064	1977	2009	135000
2117	2000	2007	168500
10400	1972	2006	165150
10000	1962	2010	160000
12342	1960	2007	139900
9600	1955	2010	153000
11606	1969	2007	135000
9020	1964	2008	168500
9000	1880	2006	124000
4590	2006	2007	209500
11900	1977	2009	82500
9250	1954	2007	139400
6979	1980	2010	144000
10896	1914	2007	200000
6120	1936	2009	60000
6000	1954	2009	93000
8777	1910	2008	85000
3982	2006	2006	264561
12677	2003	2008	274000
7050	2001	2007	226000
13860	1972	2009	345000
10793	1969	2007	152000
9187	2009	2009	370878
10530	1971	2007	143250
7200	1950	2008	98300
10452	1953	2008	155000
7700	1966	2010	155000
1936	1970	2007	84500
8125	2007	2008	205950
9084	1940	2009	108000
8750	1996	2009	191000
10320	1906	2008	135000
10437	1995	2008	350000
1680	1971	2010	88000
10007	1959	2008	145500
7200	1931	2008	149000
17503	1948	2010	97500
9937	1964	2009	167000
12384	1976	2007	197900
46589	1994	2009	402000
13560	1968	2009	110000
10012	1972	2008	137500
20896	2005	2006	423000
11194	2000	2006	230500
18450	1965	2007	129000
8125	1994	2008	193500
14175	1956	2006	168000
11600	1922	2006	137500
8633	2005	2009	173500
6629	1925	2009	103600
11250	1977	2006	165000
14442	1957	2007	257500
9200	1965	2008	140000
2289	1978	2009	148500
9600	1900	2006	87000
9022	1924	2009	109500
11844	2008	2009	372500
9945	1961	2007	128500
8012	1980	2010	143000
4500	1932	2009	159434
2887	1996	2008	173000
11248	2002	2007	285000
16770	1998	2010	221000
5062	1984	2007	207500
10207	2007	2007	227875
5105	2004	2007	148800
8089	2007	2007	392000
7577	2005	2007	194700
4426	2004	2008	141000
21535	1994	2007	755000
26178	1989	2006	335000
5400	1921	2006	108480
6120	1936	2009	141500
13811	1987	2006	176000
6000	1921	2006	89000
6420	1952	2006	123500
8450	1965	2010	138500
4282	2004	2008	196000
14331	2002	2006	312500
9600	1969	2006	140000
12438	2006	2006	361919
7630	1900	2010	140000
8400	2004	2010	213000
5600	1930	2010	55000
115149	1971	2007	302000
6240	2006	2009	254000
9018	2007	2007	179540
7162	1966	2008	109900
4130	1935	2008	52000
8712	1900	2010	102776
4671	1988	2008	189000
9873	1970	2006	129000
13517	1976	2010	130500
10140	1974	2009	165000
10800	1890	2007	159500
10000	1973	2008	157000
10542	1993	2008	341000
9920	1969	2006	128500
6563	1985	2006	275000
4426	2004	2010	143000
8120	1970	2009	124500
8172	1954	2008	135000
13286	2007	2009	320000
6960	1970	2009	120500
21695	1988	2009	222000
7314	2007	2009	194500
11475	1958	2009	110000
6240	1925	2009	103000
5389	1995	2010	236500
9590	2003	2007	187500
11404	1998	2008	222500
10000	1961	2009	131400
8978	1968	2007	108000
10800	1914	2006	163000
8544	1950	2006	93500
10463	2005	2006	239900
10800	1987	2009	179000
9313	2004	2009	190000
9600	1910	2007	132000
6768	1961	2008	142000
8450	2000	2007	179000
12886	1963	2009	175000
5395	1993	2008	180000
8963	1976	2008	299800
8795	2000	2009	236000
11700	1880	2009	265979
10593	1996	2010	260400
8405	1945	2009	98000
8800	1910	2010	96500
7750	2003	2007	162000
9236	1997	2006	217000
10240	2005	2006	275500
7930	1969	2009	156000
3230	1999	2009	172500
10769	2007	2009	212000
11616	1978	2010	158900
2280	1999	2008	179400
12257	1995	2007	290000
9100	1959	2009	127500
6911	1924	2009	100000
8640	2009	2010	215200
9430	1999	2009	337000
9549	1995	2006	270000
14587	2008	2008	264132
10421	1988	2010	196500
12508	1940	2008	160000
9100	2004	2006	216837
53504	2003	2010	538000
7252	1982	2009	134900
8877	1951	2006	102000
7819	1976	2010	107000
10150	1958	2007	114500
14226	2006	2007	395000
4500	1998	2009	162000
11210	2005	2006	221500
13350	1974	2006	142500
8400	1977	2007	144000
10530	1977	2006	135000
7875	1995	2007	176000
7153	1992	2006	175900
16285	2001	2009	187100
9101	1978	2009	165500
6300	1914	2008	128000
9790	1967	2009	161500
10800	1915	2010	139000
10142	2004	2010	233000
6000	1954	2008	107900
12205	1966	2007	187500
3182	2005	2009	160200
11333	1976	2007	146800
9920	1996	2007	269790
9158	2007	2007	225000
10832	1994	2008	194500
8400	1980	2010	171000
8197	1977	2007	143500
7677	1953	2008	110000
13518	2008	2009	485000
7200	1937	2007	175000
12798	1997	2008	200000
4800	1916	2007	109900
8199	2005	2008	189000
13891	2008	2009	582933
9000	1954	2006	118000
12274	2008	2008	227680
9750	1967	2006	135500
21384	1923	2009	223500
13400	1966	2006	159950
8100	1898	2009	106000
10140	1974	2006	181000
4438	2004	2008	144500
8712	1952	2010	55993
9750	1958	2007	157900
8248	1918	2006	116000
12137	1998	2010	224900
11425	1954	2006	137000
13265	2002	2008	271000
8816	1971	2010	155000
6371	2009	2010	224000
7226	2003	2008	183000
6000	1953	2009	93000
12394	2003	2007	225000
9900	1940	2009	139500
11216	2006	2006	232600
14803	2007	2008	385000
6130	1924	2008	109500
8529	2001	2009	189000
28698	1967	2009	185000
2544	2005	2006	147400
11900	1957	2008	166000
3180	2005	2006	151000
9548	2003	2010	237000
10004	1964	2009	167000
7875	1961	2008	139950
9600	1950	2010	128000
8100	1948	2007	153500
1680	1973	2008	100000
9525	1995	2008	144000
11767	1946	2008	130500
12155	1925	2008	140000
10440	1904	2008	157500
9020	1966	2008	174900
8000	1961	2007	141000
12665	1915	2008	153900
16647	1975	2007	171000
9317	1993	2009	213000
15523	1972	2009	133500
45600	1908	2008	240000
9600	1976	2007	187000
4435	2003	2007	131500
3196	2003	2006	215000
7128	1941	2007	164000
12095	1964	2009	158000
17920	1955	2006	170000
6897	1962	2010	127000
10970	1978	2008	147000
8125	1994	2009	174000
10400	1976	2009	152000
11029	1968	2006	250000
7642	1918	2007	189950
11625	1965	2010	131500
9672	1984	2010	152000
7931	1959	2009	132500
8640	2007	2008	250580
8750	1970	2009	148500
10656	2006	2007	248900
6970	1961	2007	129000
14762	1948	2006	169000
9938	1993	2010	236000
6600	1962	2009	109500
8750	1998	2010	200500
8892	1953	2008	116000
12144	1949	2009	133000
5720	1941	2009	66500
9000	2007	2007	303477
25286	1963	2007	132250
8834	2004	2009	350000
11782	1961	2010	148000
7000	1978	2009	136500
7024	2005	2007	157000
13758	1990	2007	187500
9636	1992	2009	178000
6204	1912	2006	118500
7150	1967	2009	100000
5119	1999	2008	328900
8393	1959	2006	145000
16466	1955	2008	135500
15865	1970	2007	268000
12160	1953	2009	149500
8064	1949	2007	122900
11184	1978	2009	172500
8414	1963	2006	154500
13284	1954	2008	165000
7018	1979	2009	118858
7056	1963	2008	140000
8765	1936	2006	106500
7018	1979	2009	142953
12919	2009	2010	611657
6993	1961	2006	135000
7340	1971	2007	110000
8712	1957	2009	153000
7875	2003	2006	180000
14859	2006	2006	240000
6173	1967	2007	125500
9920	1954	2010	128000
13501	2006	2007	255000
11500	1936	2006	250000
8885	1983	2006	131000
12589	2005	2009	174000
11600	1960	2010	154300
9286	1977	2009	143500
6120	1925	2006	88000
6270	1949	2007	145000
3000	2009	2009	173733
2001	1970	2007	75000
9000	1949	2006	35311
17140	1956	2009	135000
13125	1991	2007	238000
11029	1958	2008	176500
8462	1994	2007	201000
8777	1900	2008	145900
10237	2005	2006	169990
8012	1993	2008	193000
10240	1980	2006	207500
15611	1977	2008	175000
11999	2003	2007	285000
9900	1968	2008	176000
11838	2001	2009	236500
13006	1997	2006	222000
8925	2007	2009	201000
9100	1965	2009	117500
11670	2006	2007	320000
8487	2004	2009	190000
27650	1960	2008	242000
5825	1926	2006	79900
10083	2003	2009	184900
9675	2005	2009	253000
8760	2006	2006	239799
24090	1940	2010	244400
12640	1976	2006	150900
8755	1999	2009	214000
7711	1977	2007	150000
25000	1967	2007	143000
14375	1958	2009	137500
8820	1890	2009	124900
8163	1959	2006	143000
14536	2002	2007	270000
14006	2002	2006	192500
9360	1972	2010	197500
7200	1950	2007	129000
7800	1965	2006	119900
7200	1972	2009	133900
11075	1969	2008	172000
9400	1975	2006	127500
7136	1946	2007	145000
1300	1980	2009	124000
7420	1962	2007	132000
8450	2003	2007	185000
2572	1999	2010	155000
7207	1958	2010	116500
12227	1977	2008	272000
2308	1976	2007	155000
11923	2007	2009	239000
11316	2002	2010	214900
10237	2005	2007	178900
9600	1940	2009	160000
7390	1955	2008	135000
5925	1910	2009	37900
10382	1958	2006	140000
10800	1949	2006	135000
2268	2003	2009	173000
7892	1979	2010	99500
11639	2007	2008	182000
11414	1910	2009	167500
2651	2000	2006	165000
5900	1923	2006	85500
4274	2006	2007	199900
9450	1954	2007	110000
8816	1963	2009	139000
12122	1961	2008	178400
12203	1998	2009	336000
3182	2007	2008	159895
11250	2002	2008	255900
10125	1977	2009	126000
10880	1950	2008	125000
5310	1910	2006	117000
10159	2009	2010	395192
12046	1976	2007	195000
8125	2006	2006	197000
9452	1997	2006	348000
17671	1882	2009	168000
9760	1964	2007	187000
8846	2005	2006	173900
12456	2006	2009	337500
4712	1946	2006	121600
10659	1961	2006	136500
11717	1970	2009	185000
9786	1922	2006	91000
6762	2006	2010	206000
10206	1952	2009	82000
5400	1920	2007	86000
11957	2006	2008	232000
11500	1976	2007	136905
3182	2005	2009	181000
8385	1977	2008	149900
12155	1970	2007	163500
2217	1970	2009	88000
12118	2004	2009	240000
6000	1926	2006	102000
21286	1948	2008	135000
9825	1965	2010	100000
10592	1923	2007	165000
7200	1910	2009	85000
11664	1948	2007	119200
8400	2001	2009	227000
11883	1996	2009	203000
5814	1984	2009	187500
10784	1991	2007	160000
3013	2005	2006	213490
7024	2005	2008	176000
7406	2006	2006	194000
9439	1930	2007	87000
3182	2005	2008	191000
15498	1976	2008	287000
7700	1972	2007	112500
9300	1960	2010	167500
9520	2007	2008	293077
9492	1941	2007	105000
1680	1972	2006	118000
7082	1916	2006	160000
15863	1920	2009	197000
14541	1993	2006	310000
8125	2002	2006	230000
6305	1938	2007	119750
11500	1957	2009	84000
12898	2007	2009	315500
9240	2001	2008	287000
1533	1970	2009	97000
1477	1970	2009	80000
13125	1957	2006	155000
9130	1966	2008	173000
5381	2005	2009	196000
11839	1990	2008	262280
9600	1981	2009	278000
13680	1955	2009	139600
16056	2005	2006	556581
9245	1994	2008	145000
21750	1960	2009	115000
11100	1946	2010	84900
8993	2007	2007	176485
11175	2007	2007	200141
9500	1964	2007	165000
8562	1957	2010	144500
11367	2002	2006	255000
11361	1976	2008	180000
7052	2005	2006	185850
29959	1994	2009	248000
11308	2008	2009	335000
11275	1932	2007	220000
4920	2001	2010	213500
18000	1935	2008	81000
13600	1900	2007	90000
6000	1925	2006	110500
11000	1966	2009	154000
14000	1996	2010	328000
7837	1993	2009	178000
9760	1964	2008	167900
3964	1973	2006	151400
9600	1949	2007	135000
10152	1956	2007	135000
11700	1968	2009	154000
7585	1948	2006	91500
7950	1977	2009	159500
8556	2006	2007	194000
13125	1940	2007	219500
10800	1936	2006	170000
15870	1969	2006	138800
4435	2004	2006	155900
8775	1994	2007	126000
11040	1971	2008	145000
7500	1963	2010	133000
8749	2002	2007	192000
8800	1964	2006	160000
13031	1995	2006	187500
9069	1992	2010	147000
1974	1973	2010	83500
10574	2005	2009	252000
2522	2004	2006	137500
3316	2005	2006	197000
8544	1950	2009	92900
2160	1999	2008	160000
8400	1925	2008	136500
9230	1965	2006	146000
5868	1956	2010	129000
9317	2006	2007	176432
6882	1914	2007	127000
3696	1986	2007	170000
6000	1936	2009	128000
11880	1978	2009	157000
8400	1920	2009	60000
9758	1971	2007	119500
7000	1960	2007	135000
8910	1959	2006	159500
2016	1970	2007	106000
12256	1994	2010	325000
10357	1990	2007	179900
23257	2006	2006	274725
8063	2000	2007	181000
11362	2004	2009	280000
8000	1995	2008	188000
10480	1976	2008	205000
7100	1957	2006	129900
8923	1953	2007	134500
5400	1954	2006	117000
12085	2007	2007	318000
7750	2002	2009	184100
9764	1967	2008	130000
13825	1958	2008	140000
7560	1959	2006	133700
8263	1920	2007	118400
10084	2005	2006	212900
8926	1956	2009	112000
9405	1947	2009	118000
9125	1992	2007	163900
10434	1955	2009	115000
3684	2007	2009	174000
14572	2004	2007	259000
11796	2004	2007	215000
7200	1980	2007	140000
7804	1928	2009	135000
10712	1991	2007	93500
9900	1880	2007	117500
9828	1995	2009	239500
8773	1997	2007	169000
6180	1926	2007	102000
9600	1950	2008	119000
6342	1875	2010	94000
9819	1977	2009	196000
8731	1920	2007	144000
7350	1951	2008	139000
10304	1976	2009	197500
9965	2006	2007	424870
9000	1959	2008	80000
12180	1941	2010	80000
6240	1928	2006	149000
11200	1985	2006	180000
12000	1941	2009	174500
5700	1926	2008	116900
9000	1920	2009	143000
8280	1950	2007	124000
17755	1959	2006	149900
14115	1956	2006	230000
5890	1930	2008	120500
13700	1965	2008	201800
10768	1976	2007	218000
9350	1965	2008	179900
5001	2007	2009	230000
11932	2007	2008	235128
9120	1974	2008	185000
2280	1978	2010	146000
14778	1954	2008	224000
